IP:PORT,Delay(ms)
162.159.192.219:5956,157
162.159.192.66:4198,157
162.159.192.197:880,157
162.159.192.200:2371,157
162.159.192.169:7281,157
162.159.192.80:878,157
162.159.192.222:5279,157
162.159.192.201:1002,157
162.159.192.28:4233,157
162.159.192.174:2408,157
162.159.192.222:890,157
162.159.192.74:2371,157
162.159.192.166:942,157
162.159.192.109:943,157
162.159.192.81:4198,157
162.159.192.32:878,157
162.159.192.230:939,157
162.159.192.136:1010,157
162.159.192.205:859,157
162.159.192.154:500,157
162.159.192.160:8742,157
162.159.192.216:8854,157
162.159.192.107:1074,157
162.159.192.219:7152,157
162.159.192.100:955,157
162.159.192.239:934,157
162.159.192.54:8854,157
162.159.192.195:945,157
162.159.192.99:968,157
162.159.192.12:4177,157
162.159.192.136:3581,157
162.159.192.224:934,157
162.159.192.183:968,157
162.159.192.30:8319,157
162.159.192.152:945,157
162.159.192.211:1074,157
162.159.192.111:1074,157
162.159.192.167:880,157
162.159.192.223:1070,157
162.159.192.95:1074,157
162.159.192.25:1002,157
162.159.192.245:890,157
162.159.192.36:908,157
162.159.192.41:854,157
162.159.192.109:934,157
162.159.192.14:1701,157
162.159.192.213:1002,157
162.159.192.175:1387,157
162.159.192.30:4233,157
162.159.192.237:2408,157
162.159.192.59:890,157
162.159.192.25:946,157
162.159.192.85:7103,157
162.159.192.18:1180,157
162.159.192.17:4500,157
162.159.192.215:3854,157
162.159.192.190:8854,157
162.159.192.111:3581,157
162.159.192.113:8886,157
162.159.192.136:891,157
162.159.192.179:1843,157
162.159.192.126:854,157
162.159.192.31:942,157
162.159.192.46:4500,157
162.159.192.233:7152,157
162.159.192.93:3854,157
162.159.192.193:908,157
162.159.192.79:3138,157
162.159.192.209:908,157
162.159.192.165:5956,157
162.159.192.212:1002,157
162.159.192.207:4198,157
162.159.192.170:3581,157
162.159.192.96:4177,157
